s vacf_x VACF
3260 5.2356398661067224589e-08 7.5649977171088097147e-08
3270 5.4937163754812473221e-08 7.6662625144366051443e-08
3280 5.71367736838569083e-08 7.719527615342836443e-08
3290 5.9024599235484187541e-08 7.7185988610270201799e-08
3300 6.0669522272222902699e-08 7.661113883705551578e-08
3310 6.2134732404930665726e-08 7.5476919843536771256e-08
3320 6.3468808250220192183e-08 7.3812263208919459417e-08
3330 6.4698153408564741196e-08 7.1685296857981997615e-08
3340 6.5827820179099605458e-08 6.9191589582616822578e-08
3350 6.6845075136857728601e-08 6.6435863639938876978e-08
3360 6.7721391818175517713e-08 6.3505833649762563202e-08
3370 6.8422829834833547026e-08 6.0459033768536418339e-08
3380 6.8916857378321394612e-08 5.7305264852424438424e-08
3390 6.9189947353513110601e-08 5.4046552224899321313e-08
3400 6.9260914460033168756e-08 5.0704606022774171429e-08
3410 6.9177656440353617854e-08 4.7352276154134110347e-08
3420 6.9019484786156702165e-08 4.4140273329163132244e-08
3430 6.8869890007624651734e-08 4.1247030155641882189e-08
3440 6.8797222457842393007e-08 3.8836352987166393222e-08
3450 6.8830804481676104766e-08 3.7007461186274820286e-08
3460 6.8965991413295039912e-08 3.579665062058509495e-08
3470 6.9175785701173050987e-08 3.5200921480444191491e-08
3480 6.9432228542998414258e-08 3.5199249424082529564e-08
3490 6.971467289206853819e-08 3.5790694151281137616e-08
3500 7.0014636386582328275e-08 3.7004985346367479969e-08
3510 7.0333066104506196857e-08 3.889248906289346902e-08
3520 7.0664384313747720354e-08 4.1490278034119088206e-08
3530 7.1000746494216229308e-08 4.4815527412974275614e-08
3540 7.132733766694435146e-08 4.885287258465030371e-08
3550 7.1628547765618810728e-08 5.3538940861984635108e-08
3560 7.1903535854180410303e-08 5.8786243107489237861e-08
3570 7.2180617934577683438e-08 6.4510990913666016174e-08
3580 7.2514024539196879327e-08 7.0632968987634696686e-08
3590 7.2971825297395743056e-08 7.7078365984691230693e-08
3600 7.3625898870469648345e-08 8.3781071029054745879e-08
3610 7.4520213298675410953e-08 9.0670341410855207228e-08
3620 7.5660428302426041076e-08 9.7662429782018773629e-08
3630 7.7010231799049976933e-08 1.0464633788185551831e-07
3640 7.8511833150024673918e-08 1.1148800873054989092e-07
3650 8.0104647766501016762e-08 1.1804673553224950055e-07
3660 8.1740054142280213789e-08 1.2418846457925614914e-07
3670 8.3393194609872099705e-08 1.2981426668110005218e-07
3680 8.5054922185726635864e-08 1.3485054772754726909e-07
3690 8.6724108312983542029e-08 1.3926367152137325682e-07
3700 8.8391248290139211604e-08 1.4306214772639358297e-07
3710 9.0029520992902567674e-08 1.4628752198185073678e-07
3720 9.1594954471092023824e-08 1.4900899470294834076e-07
3730 9.302853556832016999e-08 1.5130698510778014297e-07
3740 9.4280042678078118851e-08 1.5325786081477523601e-07
3750 9.5313596819283545014e-08 1.5490928990816235267e-07
3760 9.6108991851057330803e-08 1.5628452294409885926e-07
3770 9.6656495022137018512e-08 1.5738709469453927833e-07
3780 9.6943058776823929997e-08 1.5820325648548895706e-07
3790 9.6951528036945263005e-08 1.5872603188281738403e-07
3800 9.6662112524061671607e-08 1.5895600277498905431e-07
3810 9.6066712568037893595e-08 1.5890683543110463661e-07
3820 9.5183588896577004375e-08 1.58611103884800366e-07
3830 9.4069195372083057549e-08 1.5812616494952177189e-07
3840 9.2826827673565333554e-08 1.5755773666037651426e-07
